sig_HSC_CLP	sig_CLP_ProB	sig_ProB_PreB	sig_PreB_ImmatureB	sig_ImmatureB_TransitionalB	sig_TransitionalB_NaiveCD5neg	sig_TransitionalB_NaiveCD5pos	sig_NaiveCD5neg_NaiveCD5pos
ENSG00000009844	0	0	0	0	1	0	0	0
ENSG00000009954	0	0	0	1	0	0	0	0
ENSG00000010017	0	0	0	1	0	0	0	0
ENSG00000010030	0	0	1	0	0	0	0	0
ENSG00000010072	0	0	-1	0	0	0	0	0
ENSG00000010256	0	0	0	1	0	0	0	0
ENSG00000010270	-1	0	0	0	0	0	0	0
ENSG00000010278	0	-1	0	0	1	1	1	0
ENSG00000010292	-1	0	-1	1	0	0	0	0
ENSG00000010310	0	0	0	0	1	0	0	0
ENSG00000010327	0	1	1	0	0	1	0	0
ENSG00000010361	0	0	0	1	0	0	0	0
ENSG00000010404	0	1	0	0	0	0	0	0
ENSG00000010610	0	0	1	-1	0	0	0	0
ENSG00000010671	0	0	-1	0	0	0	0	0
ENSG00000010803	0	-1	0	1	0	0	0	0
ENSG00000010810	0	-1	1	-1	0	0	0	0
ENSG00000010818	0	-1	0	0	0	0	0	0
ENSG00000010932	0	0	-1	-1	1	1	0	0
ENSG00000011021	0	0	0	-1	0	0	0	0
ENSG00000011028	0	1	1	1	0	0	0	0
ENSG00000011105	0	-1	1	0	0	0	0	0
ENSG00000011114	0	-1	0	0	0	0	0	0
ENSG00000011132	0	-1	0	0	0	0	0	0
ENSG00000011143	0	0	0	1	-1	0	0	0
ENSG00000011201	1	0	0	0	0	0	0	0
ENSG00000011243	0	-1	0	0	0	0	0	0
ENSG00000011260	0	0	0	1	0	0	0	0
ENSG00000011295	0	0	1	0	-1	0	0	0
ENSG00000011304	0	0	0	1	0	0	0	0
ENSG00000011332	0	1	0	0	0	0	0	0
ENSG00000011376	0	0	0	1	0	1	0	0
ENSG00000011405	1	0	0	0	0	0	0	0
ENSG00000011422	0	0	1	0	0	1	0	0
ENSG00000011426	-1	0	0	1	0	0	0	0
ENSG00000011454	1	0	0	0	0	0	0	0
ENSG00000011485	0	0	0	1	0	0	0	0
ENSG00000011523	0	0	0	1	0	0	0	0
ENSG00000011566	0	0	0	0	0	1	0	0
ENSG00000011590	0	0	0	-1	0	0	0	0
ENSG00000011600	-1	1	0	-1	0	1	0	0
ENSG00000011638	0	0	0	-1	1	0	0	0
ENSG00000012048	0	0	0	1	0	0	0	0
ENSG00000012061	0	1	0	0	0	0	0	0
ENSG00000012124	-1	-1	0	-1	0	0	0	0
ENSG00000012211	1	0	0	-1	0	0	0	0
ENSG00000012223	0	0	0	0	1	0	0	0
ENSG00000012660	0	0	-1	-1	-1	0	0	0
ENSG00000012779	0	-1	0	-1	0	0	0	0
ENSG00000012822	1	-1	0	0	0	0	0	0
ENSG00000012963	0	0	0	1	0	0	0	0
ENSG00000012983	0	0	-1	0	0	0	0	0
ENSG00000013016	0	-1	0	-1	0	0	0	0
ENSG00000013288	0	1	-1	-1	1	0	0	0
ENSG00000013364	0	0	1	-1	0	0	0	0
ENSG00000013441	0	0	0	-1	0	0	0	0
ENSG00000013563	0	0	0	-1	0	0	0	0
ENSG00000013573	0	0	0	1	-1	0	0	0
ENSG00000013583	0	1	0	1	1	-1	0	0
ENSG00000013619	0	0	0	0	-1	0	0	0
ENSG00000013725	0	0	0	0	0	0	-1	0
ENSG00000013810	0	0	-1	1	-1	1	0	0
ENSG00000014123	0	0	0	0	-1	0	0	0
ENSG00000014138	0	-1	0	1	0	0	0	0
ENSG00000014216	0	0	-1	0	1	0	0	0
ENSG00000014641	-1	0	0	1	0	0	0	0
ENSG00000014914	-1	1	0	0	0	0	0	0
ENSG00000014919	0	0	0	1	0	0	0	0
ENSG00000015133	0	0	0	0	-1	0	0	0
ENSG00000015285	0	0	-1	0	0	0	0	0
ENSG00000015413	0	-1	0	1	0	0	0	0
ENSG00000015475	-1	0	0	1	0	0	0	0
ENSG00000015676	0	0	0	0	-1	0	0	0
ENSG00000016864	0	0	0	1	0	0	0	0
ENSG00000017427	0	0	1	0	0	0	0	0
ENSG00000017483	0	0	0	1	0	0	0	0
ENSG00000017797	0	0	-1	1	0	0	0	0
ENSG00000018189	-1	0	0	0	0	0	0	0
ENSG00000018280	0	0	1	-1	0	0	0	0
ENSG00000018408	1	0	0	0	0	0	0	0
ENSG00000018510	0	0	0	1	0	0	0	0
ENSG00000019144	0	1	0	0	0	0	0	0
ENSG00000019485	1	1	-1	0	0	0	0	0
ENSG00000019582	-1	-1	0	-1	0	0	0	0
ENSG00000019991	-1	1	0	0	0	0	0	0
ENSG00000019995	0	0	0	1	0	0	0	0
ENSG00000020181	0	1	0	0	0	0	0	0
ENSG00000020256	0	0	0	1	0	0	0	0
ENSG00000020577	0	0	0	0	-1	0	0	0
ENSG00000020633	0	1	0	0	-1	0	0	0
ENSG00000021355	0	1	1	0	0	0	0	0
ENSG00000021645	0	-1	1	1	0	0	0	0
ENSG00000021762	0	0	0	1	0	1	1	0
ENSG00000022267	0	0	1	1	0	0	1	0
ENSG00000022567	0	0	-1	0	0	0	0	0
ENSG00000023041	-1	0	0	0	0	0	0	0
ENSG00000023171	0	0	0	1	0	1	1	0
ENSG00000023191	0	0	0	-1	0	0	0	0
ENSG00000023228	0	0	0	1	0	0	0	0
ENSG00000023287	0	-1	0	0	0	0	0	0
ENSG00000023318	-1	0	0	0	0	0	0	0
ENSG00000023445	0	0	0	-1	0	0	0	0
ENSG00000023572	0	0	0	1	0	0	0	0
ENSG00000023697	-1	1	0	1	0	0	0	0
ENSG00000023734	-1	0	0	0	1	0	0	0
ENSG00000023892	0	0	0	-1	0	0	0	0
ENSG00000023902	-1	0	0	0	0	0	0	0
ENSG00000023909	0	0	0	1	0	-1	0	0
ENSG00000024422	1	0	1	0	0	0	0	0
ENSG00000024526	-1	0	0	1	0	0	0	0
ENSG00000024862	0	0	-1	0	0	0	0	0
ENSG00000025039	0	0	0	1	0	0	0	0
ENSG00000025293	0	0	0	0	-1	0	0	0
ENSG00000025423	0	0	0	1	0	0	0	0
ENSG00000025434	0	0	0	1	0	0	0	0
ENSG00000025708	0	0	1	-1	-1	0	0	0
ENSG00000025770	-1	0	0	1	0	0	0	0
ENSG00000025796	0	-1	1	0	0	0	0	0
ENSG00000026025	-1	1	0	0	1	0	0	0
ENSG00000026103	0	1	0	0	0	0	0	0
ENSG00000026297	-1	0	1	-1	0	0	0	0
ENSG00000026508	0	1	1	-1	-1	0	0	0
ENSG00000026559	0	0	0	0	0	-1	-1	0
ENSG00000026652	1	0	0	-1	0	1	1	0
ENSG00000026950	1	-1	0	-1	0	0	0	0
ENSG00000027075	0	0	1	0	0	0	0	0
ENSG00000027697	-1	0	0	-1	0	0	0	0
ENSG00000028137	-1	1	1	-1	-1	0	0	0
ENSG00000028203	0	0	1	0	0	0	0	0
ENSG00000028277	0	1	-1	-1	0	0	0	0
ENSG00000028839	0	0	0	1	0	0	0	0
ENSG00000029153	0	0	0	1	0	0	0	0
ENSG00000029534	0	-1	0	-1	0	0	0	0
ENSG00000029639	0	0	0	1	-1	0	0	0
ENSG00000029725	0	0	-1	0	-1	0	0	0
ENSG00000029993	0	0	0	1	0	0	1	0
ENSG00000030066	0	0	-1	0	0	0	0	0
ENSG00000030419	1	-1	-1	0	0	0	0	0
ENSG00000030582	-1	1	-1	-1	1	0	0	0
ENSG00000031081	0	1	0	0	0	0	0	0
ENSG00000031691	0	0	0	1	0	0	0	0
ENSG00000031698	-1	0	0	0	0	0	0	0
ENSG00000032389	0	-1	1	0	0	0	0	0
ENSG00000032444	0	-1	0	0	0	0	0	0
ENSG00000032742	0	0	0	1	0	0	0	0
ENSG00000033030	0	0	0	1	0	0	0	0
ENSG00000033100	1	0	0	0	0	0	0	0
ENSG00000033170	0	0	0	-1	0	0	0	0
ENSG00000033327	0	0	1	0	0	1	0	0
ENSG00000033627	1	0	0	-1	0	0	0	0
ENSG00000033800	0	-1	0	0	0	0	0	0
ENSG00000034152	0	0	-1	0	1	1	0	0
ENSG00000034510	-1	0	0	-1	0	0	0	0
ENSG00000034677	0	0	0	-1	0	0	0	0
ENSG00000034693	0	0	0	1	-1	0	0	0
ENSG00000035141	0	1	0	0	0	0	0	0
ENSG00000035403	0	1	1	-1	0	0	0	0
ENSG00000035499	-1	0	0	1	0	0	0	0
ENSG00000035664	0	0	0	-1	0	0	0	0
ENSG00000035720	0	0	0	-1	0	0	0	0
ENSG00000035862	0	1	0	0	0	0	0	0
ENSG00000036448	0	0	0	1	0	0	0	0
ENSG00000036530	0	0	-1	0	1	0	0	0
ENSG00000036672	0	1	1	0	0	0	0	0
ENSG00000037042	0	0	1	0	0	-1	-1	0
ENSG00000037241	0	0	0	1	0	0	0	0
ENSG00000037280	0	-1	1	0	0	0	0	0
ENSG00000037757	0	1	0	0	0	0	0	0
ENSG00000037897	0	0	1	1	-1	0	0	0
ENSG00000038382	0	0	0	-1	-1	0	0	0
ENSG00000038427	0	0	0	0	0	1	0	0
ENSG00000038532	0	-1	0	0	0	0	0	0
ENSG00000038945	0	0	0	0	0	1	0	0
ENSG00000039319	0	-1	0	0	0	0	0	0
ENSG00000039523	0	-1	0	-1	1	0	0	0
ENSG00000039560	0	-1	0	1	0	0	0	0
ENSG00000040199	0	0	0	-1	0	0	0	0
ENSG00000040275	0	0	0	1	0	0	0	0
ENSG00000040531	0	0	-1	0	0	0	0	0
ENSG00000040608	0	0	1	1	0	0	0	0
ENSG00000040933	0	0	0	0	1	1	0	0
ENSG00000041353	1	1	0	0	0	0	0	0
ENSG00000041880	0	0	0	0	-1	0	0	0
ENSG00000042062	1	0	1	0	0	0	0	0
ENSG00000042088	0	0	0	1	0	0	0	0
ENSG00000042317	0	0	0	1	0	0	0	0
ENSG00000042493	-1	1	0	-1	0	1	1	0
ENSG00000042753	-1	0	0	0	0	0	0	0
ENSG00000042813	0	1	-1	0	0	0	0	0
ENSG00000042980	0	1	0	-1	-1	-1	0	0
ENSG00000043143	0	-1	1	1	-1	0	0	0
ENSG00000043462	0	0	1	0	0	0	0	0
ENSG00000043514	0	0	0	1	0	0	0	0
ENSG00000043591	-1	0	0	0	0	0	0	0
ENSG00000044115	1	0	0	1	0	-1	0	0
ENSG00000044459	0	0	0	1	0	0	0	0
ENSG00000044574	-1	1	0	0	0	0	0	0
ENSG00000046604	0	1	1	1	0	0	0	0
ENSG00000046651	0	-1	0	0	0	0	0	0
ENSG00000046653	-1	0	0	1	0	0	0	0
ENSG00000046889	1	1	1	0	0	0	0	0
ENSG00000047056	0	-1	0	0	0	0	0	0
ENSG00000047315	0	-1	0	0	0	0	0	0
ENSG00000047346	0	-1	0	-1	0	0	0	0
ENSG00000047365	0	-1	0	0	0	0	0	0
ENSG00000047410	0	0	0	1	0	0	0	0
ENSG00000047617	0	-1	1	0	0	0	0	0
ENSG00000047634	-1	0	0	0	-1	0	0	0
ENSG00000047644	0	-1	-1	-1	0	0	0	0
ENSG00000047648	1	0	0	0	0	0	0	0
ENSG00000048028	0	-1	-1	-1	0	0	0	0
ENSG00000048052	0	1	-1	-1	0	0	0	0
ENSG00000048140	1	0	0	-1	0	0	0	0
ENSG00000048162	0	0	1	1	0	0	0	0
ENSG00000048405	0	0	0	-1	0	0	0	0
ENSG00000048471	0	-1	0	0	0	0	0	0
ENSG00000048707	0	0	0	-1	0	0	0	0
ENSG00000048991	0	0	0	1	0	0	0	0
ENSG00000049089	0	1	0	-1	-1	0	0	0
ENSG00000049167	0	0	0	0	1	0	0	0
ENSG00000049323	1	0	0	0	0	0	0	0
ENSG00000049449	0	0	0	1	0	0	1	0
ENSG00000049540	1	0	0	0	0	0	0	0
ENSG00000049541	-1	0	0	1	0	0	0	0
ENSG00000049618	0	0	-1	0	1	0	0	0
ENSG00000049656	-1	0	0	0	1	0	0	0
ENSG00000049759	0	0	1	0	-1	0	0	0
ENSG00000049860	0	1	1	0	0	0	0	0
ENSG00000049883	0	0	0	1	0	0	0	0
ENSG00000050344	0	1	1	0	0	0	0	0
ENSG00000050393	0	0	0	1	0	0	0	0
ENSG00000050405	0	1	1	0	0	0	0	0
ENSG00000050426	0	0	0	1	-1	0	0	0
ENSG00000050555	0	1	0	0	0	0	0	0
ENSG00000050767	-1	1	0	0	0	0	0	0
ENSG00000051108	-1	0	0	-1	0	0	0	0
ENSG00000051128	-1	1	1	-1	0	0	0	0
ENSG00000051180	0	0	0	1	0	0	0	0
ENSG00000051341	0	0	0	1	0	0	0	0
ENSG00000051523	-1	0	0	-1	0	0	0	0
ENSG00000051596	0	0	0	1	0	0	0	0
ENSG00000051620	0	0	-1	0	0	0	0	0
ENSG00000051825	0	0	0	1	0	0	0	0
ENSG00000052126	0	0	0	1	0	1	1	0
ENSG00000052723	0	0	0	1	0	0	0	0
ENSG00000052795	0	0	0	1	0	0	0	0
ENSG00000053254	0	0	0	-1	0	0	0	0
ENSG00000053371	0	1	0	1	0	0	0	0
ENSG00000053372	0	0	0	1	-1	0	0	0
ENSG00000053438	0	1	-1	1	0	0	0	0
ENSG00000053524	0	1	0	1	0	0	0	0
ENSG00000053747	1	0	1	1	0	0	0	0
ENSG00000053918	1	0	-1	-1	0	0	0	0
ENSG00000054118	0	0	0	1	-1	0	0	0
ENSG00000054148	0	1	0	0	0	0	0	0
ENSG00000054219	0	1	0	-1	0	0	0	0
ENSG00000054267	0	-1	0	0	0	0	0	0
ENSG00000054277	-1	1	-1	0	0	0	0	0
ENSG00000054392	0	0	1	0	0	0	0	0
ENSG00000054611	0	0	0	-1	0	0	0	0
ENSG00000054654	-1	-1	0	1	0	0	0	0
ENSG00000054690	0	0	0	-1	0	0	0	0
ENSG00000054793	1	1	0	0	0	0	0	0
ENSG00000054967	0	0	0	-1	1	1	0	0
ENSG00000055044	0	0	0	0	-1	0	0	0
ENSG00000055118	0	0	0	-1	0	0	0	0
ENSG00000055163	-1	-1	0	0	0	0	0	0
ENSG00000055609	0	0	0	-1	0	0	0	0
ENSG00000055917	0	-1	0	0	0	0	0	0
ENSG00000055955	0	0	1	0	0	0	0	0
ENSG00000056050	0	0	0	1	0	0	0	0
ENSG00000056586	0	-1	0	0	0	0	0	0
ENSG00000056736	0	0	1	0	0	0	0	0
ENSG00000056972	0	0	1	0	0	0	0	0
ENSG00000057252	0	0	0	1	-1	0	0	0
ENSG00000057294	0	1	0	0	0	0	0	0
ENSG00000057704	0	0	0	-1	-1	0	0	0
ENSG00000057935	-1	0	0	0	0	0	0	0
ENSG00000058056	0	0	0	1	0	0	0	0
ENSG00000058262	0	0	1	0	0	0	0	0
ENSG00000058272	0	-1	0	0	0	0	0	0
ENSG00000058453	1	0	0	0	0	0	0	0
ENSG00000058600	0	0	0	0	-1	0	0	0
ENSG00000058668	0	0	1	0	0	1	0	0
ENSG00000058799	0	0	0	1	0	0	0	0
ENSG00000058804	0	0	0	1	0	0	0	0
ENSG00000058866	0	1	0	0	0	0	0	0
ENSG00000059122	1	0	0	0	0	0	0	0
ENSG00000059145	1	-1	0	0	0	0	0	0
ENSG00000059377	0	1	1	0	0	0	0	0
ENSG00000059378	0	-1	0	-1	0	0	0	0
ENSG00000059573	0	1	0	0	0	0	0	0
ENSG00000059588	1	0	1	0	-1	0	0	0
ENSG00000059691	0	0	0	1	0	0	0	0
ENSG00000059728	0	1	0	0	0	0	0	0
ENSG00000059804	0	0	0	-1	-1	1	0	0
ENSG00000059915	1	0	0	1	0	0	0	0
ENSG00000060138	0	-1	-1	0	0	1	0	0
ENSG00000060140	0	0	1	0	0	0	0	0
ENSG00000060558	0	0	0	1	0	0	0	0
ENSG00000060566	0	0	0	1	0	0	0	0
ENSG00000060688	0	0	0	1	-1	0	0	0
ENSG00000060762	-1	1	0	0	1	0	0	0
ENSG00000060971	0	0	0	-1	0	0	0	0
ENSG00000060982	0	0	0	1	0	0	0	0
ENSG00000061273	0	-1	0	1	0	0	0	0
ENSG00000061656	0	0	0	0	-1	0	0	0
ENSG00000061918	1	0	0	1	0	0	0	0
ENSG00000061938	0	-1	1	0	0	0	0	0
ENSG00000061987	0	0	0	-1	0	0	0	0
ENSG00000062282	0	1	0	0	-1	0	0	0
ENSG00000062524	0	0	-1	0	1	0	1	0
ENSG00000062598	0	0	0	0	1	0	0	0
ENSG00000062650	0	1	-1	1	-1	-1	-1	0
ENSG00000062716	0	1	0	0	0	0	0	0
ENSG00000062822	0	0	0	1	0	0	0	0
ENSG00000063046	0	0	1	0	0	0	0	0
ENSG00000063127	1	-1	0	0	0	0	0	0
ENSG00000063169	0	0	-1	0	0	0	0	0
ENSG00000063177	0	0	0	0	-1	0	0	0
ENSG00000063241	0	0	1	1	0	0	0	0
ENSG00000063601	0	0	-1	0	1	0	0	0
ENSG00000064012	0	1	0	0	0	0	0	0
ENSG00000064042	1	0	0	0	0	0	0	0
ENSG00000064115	0	1	1	0	0	0	0	0
ENSG00000064199	0	0	0	1	0	0	0	0
ENSG00000064201	1	1	1	-1	-1	1	0	0
ENSG00000064225	0	0	1	0	0	1	0	0
ENSG00000064300	-1	1	0	0	0	0	0	0
ENSG00000064393	1	0	0	1	0	0	0	0
ENSG00000064419	0	0	0	1	0	0	0	0
ENSG00000064547	0	0	-1	0	0	0	0	0
ENSG00000064601	0	1	0	0	0	1	0	0
ENSG00000064651	0	0	0	-1	0	0	0	0
ENSG00000064652	0	0	-1	1	0	0	0	0
ENSG00000064666	0	1	0	-1	0	0	0	0
ENSG00000064687	0	0	-1	-1	1	0	0	0
ENSG00000064763	0	0	0	1	0	0	0	0
ENSG00000064886	-1	0	0	-1	-1	0	0	0
ENSG00000064933	0	0	0	1	0	0	0	0
ENSG00000064961	0	0	0	0	0	1	0	0
ENSG00000064989	0	1	0	1	0	0	0	0
ENSG00000065000	0	0	0	0	1	0	0	0
ENSG00000065054	0	1	1	0	0	0	0	0
ENSG00000065057	0	0	0	1	0	0	0	0
ENSG00000065060	0	0	0	1	0	0	0	0
ENSG00000065135	-1	0	0	0	0	0	0	0
ENSG00000065150	0	0	0	1	0	0	0	0
ENSG00000065154	0	1	0	1	0	-1	0	0
ENSG00000065243	0	-1	1	0	0	0	0	0
ENSG00000065320	0	1	0	0	0	0	0	0
ENSG00000065328	-1	0	0	1	0	0	0	0
ENSG00000065357	-1	-1	0	0	0	0	0	0
ENSG00000065413	0	0	-1	-1	0	0	0	0
ENSG00000065485	0	0	0	0	0	0	1	0
ENSG00000065518	0	0	0	1	0	0	0	0
ENSG00000065534	-1	0	0	1	0	1	1	0
ENSG00000065615	0	0	-1	0	1	0	0	0
ENSG00000065675	0	0	1	1	0	0	0	0
ENSG00000065717	1	0	-1	0	0	1	0	0
ENSG00000065809	-1	0	-1	0	0	0	0	0
ENSG00000065882	0	-1	-1	0	1	1	0	0
ENSG00000065883	0	-1	0	0	0	0	0	0
ENSG00000065923	0	0	-1	0	1	0	0	0
ENSG00000065978	0	0	0	1	-1	0	0	0
ENSG00000065989	0	0	0	1	-1	1	0	0
ENSG00000066027	0	0	0	-1	0	0	0	0
ENSG00000066056	0	1	0	1	0	0	0	0
ENSG00000066084	0	0	0	0	-1	0	0	0
ENSG00000066117	0	0	-1	0	1	0	0	0
ENSG00000066279	-1	0	0	1	1	0	0	0
ENSG00000066294	0	1	-1	0	1	0	0	0
ENSG00000066336	0	0	-1	0	0	0	0	0
ENSG00000066379	0	0	0	1	0	0	0	0
ENSG00000066382	0	-1	0	0	1	0	0	0
ENSG00000066557	0	0	0	1	0	0	0	0
ENSG00000066651	0	0	0	1	0	0	0	0
ENSG00000066654	0	0	0	-1	0	0	0	0
ENSG00000066697	0	0	0	1	0	0	0	0
ENSG00000066735	0	-1	0	1	0	0	0	0
ENSG00000066923	0	-1	1	0	0	-1	0	0
ENSG00000066926	0	1	0	0	1	-1	0	0
ENSG00000067057	0	1	0	0	0	0	0	0
ENSG00000067064	0	-1	0	0	0	0	0	0
ENSG00000067066	0	0	-1	-1	0	0	0	0
ENSG00000067082	-1	1	1	0	-1	0	0	0
ENSG00000067113	-1	0	0	0	0	0	0	0
ENSG00000067167	-1	0	0	1	0	0	0	0
ENSG00000067177	0	1	0	0	0	0	0	0
ENSG00000067182	0	0	1	0	0	0	0	0
ENSG00000067225	-1	0	0	1	0	0	0	0
ENSG00000067445	0	0	0	0	0	1	1	0
ENSG00000067533	0	0	0	0	-1	0	0	0
ENSG00000067560	-1	0	0	0	0	0	0	0
ENSG00000067596	0	0	0	1	0	0	0	0
ENSG00000067606	1	0	1	-1	0	0	0	0
ENSG00000067836	-1	0	1	0	0	1	0	0
ENSG00000067900	0	-1	0	0	0	0	0	0
ENSG00000067955	0	0	0	1	0	0	0	0
ENSG00000068001	0	0	0	0	0	1	0	-1
ENSG00000068024	0	0	-1	0	0	0	0	0
ENSG00000068028	1	0	0	0	0	0	0	0
ENSG00000068078	1	0	0	1	0	0	0	0
ENSG00000068079	0	0	0	-1	0	0	0	0
ENSG00000068137	0	0	0	1	0	0	0	0
ENSG00000068305	-1	0	0	0	0	0	0	0
ENSG00000068489	0	0	0	1	1	0	0	0
ENSG00000068650	0	1	-1	-1	0	0	0	0
ENSG00000068724	-1	-1	0	0	1	1	0	0
ENSG00000068831	-1	-1	0	-1	0	0	0	0
ENSG00000068878	0	0	0	-1	0	0	0	0
ENSG00000068885	0	0	0	1	0	0	0	0
ENSG00000068903	0	0	0	-1	1	0	0	0
ENSG00000068971	1	-1	0	-1	0	0	0	0
